aX,aY,aZ,gX,gY,gZ
0.817,0.372,1.85,-101.501,-9.277,67.017
0.837,0.43,1.862,-109.07,3.418,70.129
0.842,0.492,1.929,-114.136,21.057,70.435
0.832,0.538,1.982,-118.103,41.504,72.571
0.801,0.582,1.96,-121.887,58.838,78.369
0.741,0.67,1.899,-132.446,61.462,86.609
0.686,0.796,1.875,-148.071,51.453,87.769
0.681,0.839,1.902,-164.307,35.828,80.994
0.726,0.762,1.977,-178.04,23.315,76.965
0.787,0.663,2.022,-184.998,21.423,81.421
0.835,0.617,2.022,-189.636,18.982,91.431
0.863,0.593,2.074,-195.312,19.47,100.22
0.875,0.563,2.096,-193.604,35.522,108.765
0.869,0.522,2.014,-190.43,48.157,118.469
0.82,0.523,1.933,-198.303,55.054,127.258
0.729,0.6,1.776,-204.346,60.974,129.639
0.635,0.646,1.567,-215.027,43.213,124.573
0.58,0.578,1.519,-230.164,16.541,118.958
0.565,0.405,1.574,-240.784,3.357,121.643
0.555,0.247,1.573,-251.709,0.061,136.719
0.513,0.285,1.534,-260.254,0.183,154.236
0.431,0.429,1.546,-266.663,4.456,156.006
0.362,0.471,1.512,-268.433,23.193,151.367
0.325,0.473,1.363,-270.935,35.767,154.236
0.27,0.554,1.265,-276.489,39.001,158.325
0.197,0.668,1.189,-277.649,50.659,155.334
0.131,0.753,1.014,-277.832,57.251,149.048
0.068,0.798,0.825,-286.438,50.659,140.747
0.039,0.802,0.613,-290.283,39.795,134.46
0.055,0.746,0.432,-297.791,9.827,130.249
0.092,0.638,0.391,-306.885,-22.339,132.141
0.149,0.558,0.448,-314.392,-44.8,140.503
0.21,0.507,0.548,-317.139,-51.941,149.109
0.256,0.471,0.676,-320.74,-44.861,164.368
0.275,0.507,0.793,-325.623,-15.93,181.213
0.254,0.631,0.851,-336.304,33.691,191.833
0.19,0.814,0.767,-353.638,108.398,190.674
0.065,1.122,0.395,-386.963,193.726,182.434
-0.121,1.529,-0.327,-428.772,273.437,157.104
-0.32,1.836,-1.401,-451.294,330.75,115.845
-0.493,1.788,-2.795,-411.133,337.952,73.181
-0.62,1.177,-3.782,-301.147,260.01,50.293
-0.746,0.411,-3.999,-206.848,101.746,55.298
-0.916,0.2,-3.968,-92.163,-5.554,81.787
-1.061,0.536,-3.609,34.18,-37.903,77.148
