aX,aY,aZ,gX,gY,gZ
0.343,-0.135,-0.072,148.804,36.56,-18.799
0.448,-0.121,-0.01,158.386,49.072,-26.672
0.561,-0.127,-0.035,122.009,63.354,-32.715
0.627,-0.155,-0.1,64.697,69.031,-32.288
0.648,-0.169,-0.139,23.743,68.42,-25.085
1.858,0.042,0.938,71.472,66.04,-46.082
2.058,0.074,1.008,108.582,109.802,11.902
2.184,0.38,0.889,143.738,165.71,58.838
2.135,0.757,0.634,168.762,202.881,60.852
1.984,1.007,0.351,193.237,207.703,26.489
1.94,1.054,0.162,175.537,178.101,-19.47
2.009,0.925,0.188,146.545,123.962,-59.082
2.063,0.752,0.388,139.343,73.364,-79.529
2.211,0.669,0.626,137.573,47.302,-82.214
2.452,0.664,0.812,139.16,47.485,-82.031
2.595,0.671,0.899,145.63,78.796,-79.712
2.688,0.667,0.874,168.579,119.202,-72.449
2.829,0.629,0.769,186.584,139.099,-70.801
2.97,0.5,0.664,176.819,131.287,-78.003
2.999,0.265,0.603,152.1,103.699,-84.9
2.901,-0.024,0.647,105.408,71.167,-82.336
2.752,-0.302,0.728,168.091,32.715,-73.303
2.61,-0.468,0.693,161.804,-3.906,-53.223
2.458,-0.51,0.698,59.021,-28.381,-36.316
2.232,-0.486,0.773,-1.404,-45.349,-22.949
1.92,-0.389,0.745,2.136,-53.223,-6.409
1.596,-0.194,0.637,-3.845,-46.204,17.09
1.358,0.088,0.454,6.287,-34.119,35.278
1.219,0.378,0.215,7.69,-25.452,38.452
1.144,0.583,0.006,1.709,-24.17,30.212
1.091,0.672,-0.134,-6.47,-32.593,18.25
1.005,0.676,-0.176,-14.099,-46.631,8.606
0.881,0.632,-0.126,-7.141,-55.664,5.249
0.78,0.587,-0.036,5.554,-56.824,7.385
0.746,0.567,0.056,6.287,-51.331,8.057
0.779,0.538,0.142,-3.235,-39.063,4.761
0.855,0.472,0.202,-11.597,-25.818,0.061
0.91,0.373,0.233,-21.118,-19.836,-2.502
0.901,0.28,0.266,-27.405,-20.569,-0.366
0.879,0.244,0.311,-26.123,-21.24,5.981
0.863,0.256,0.349,-29.114,-21.057,8.484
0.836,0.258,0.382,-37.354,-20.752,6.836
0.811,0.242,0.417,-34.729,-20.752,6.592
0.818,0.248,0.436,-37.781,-15.869,9.46
0.884,0.275,0.422,-44.434,-13.306,8.24
0.948,0.275,0.41,-52.429,-15.747,2.258
0.963,0.232,0.425,-47.791,-16.235,-0.854
0.956,0.2,0.426,-35.156,-12.939,3.784
0.955,0.234,0.404,-32.166,-6.042,10.803
0.976,0.311,0.362,-28.503,0.854,12.573
1.012,0.361,0.306,-21.484,4.089,8.118
1.056,0.347,0.258,-10.193,2.808,3.479
1.12,0.288,0.243,0.244,-1.16,3.662
1.19,0.229,0.268,8.789,-5.188,9.033
1.247,0.206,0.316,18.188,-5.005,17.578
1.293,0.22,0.359,25.208,0.854,25.574
